,type,atk,def,level,scale,linkval,views,image_url
8,Effect Monster,500.0,1500.0,3.0,,,164745,https://images.ygoprodeck.com/images/cards/86988864.jpg
9,Normal Monster,1250.0,2100.0,5.0,,,141200,https://images.ygoprodeck.com/images/cards/11714098.jpg
10,Flip Effect Monster,800.0,1200.0,3.0,,,268220,https://images.ygoprodeck.com/images/cards/83994646.jpg
12,Normal Monster,1800.0,800.0,4.0,,,269527,https://images.ygoprodeck.com/images/cards/23771716.jpg
14,Effect Monster,300.0,200.0,2.0,,,120182,https://images.ygoprodeck.com/images/cards/14261867.jpg
15,Flip Effect Monster,500.0,300.0,2.0,,,188893,https://images.ygoprodeck.com/images/cards/24140059.jpg
23,Effect Monster,1600.0,1600.0,4.0,,,81000,https://images.ygoprodeck.com/images/cards/51351302.jpg
28,Union Effect Monster,1900.0,200.0,4.0,,,235268,https://images.ygoprodeck.com/images/cards/30012506.jpg
29,Effect Monster,300.0,400.0,2.0,,,36351,https://images.ygoprodeck.com/images/cards/13026402.jpg
30,Fusion Monster,4000.0,4000.0,10.0,,,149929,https://images.ygoprodeck.com/images/cards/65172015.jpg
40,Effect Monster,100.0,100.0,1.0,,,60459,https://images.ygoprodeck.com/images/cards/96146814.jpg
41,Fusion Monster,3000.0,2800.0,8.0,,,306876,https://images.ygoprodeck.com/images/cards/1561110.jpg
43,Effect Monster,1700.0,1100.0,4.0,,,32663,https://images.ygoprodeck.com/images/cards/12694768.jpg
44,Effect Monster,1200.0,1200.0,4.0,,,42684,https://images.ygoprodeck.com/images/cards/89718302.jpg
46,Effect Monster,3000.0,1500.0,8.0,,,198785,https://images.ygoprodeck.com/images/cards/1966438.jpg
48,Effect Monster,1800.0,1200.0,4.0,,,37114,https://images.ygoprodeck.com/images/cards/70832512.jpg
50,Effect Monster,0.0,0.0,1.0,,,186036,https://images.ygoprodeck.com/images/cards/60990740.jpg
52,Flip Effect Monster,600.0,500.0,3.0,,,34831,https://images.ygoprodeck.com/images/cards/3900605.jpg
53,Effect Monster,1300.0,1000.0,4.0,,,40462,https://images.ygoprodeck.com/images/cards/49771608.jpg
54,Effect Monster,1200.0,2800.0,7.0,,,552708,https://images.ygoprodeck.com/images/cards/67748760.jpg
55,Pendulum Effect Monster,1000.0,2000.0,3.0,8.0,,55403,https://images.ygoprodeck.com/images/cards/15308295.jpg
56,Pendulum Effect Monster,1100.0,1000.0,4.0,7.0,,264804,https://images.ygoprodeck.com/images/cards/44179224.jpg
57,Pendulum Effect Monster,3000.0,2000.0,8.0,1.0,,46989,https://images.ygoprodeck.com/images/cards/52240819.jpg
58,Pendulum Effect Monster,100.0,100.0,1.0,3.0,,55556,https://images.ygoprodeck.com/images/cards/88412339.jpg
59,Pendulum Effect Monster,300.0,200.0,1.0,8.0,,27207,https://images.ygoprodeck.com/images/cards/99634927.jpg
60,Link Monster,800.0,,,,1.0,37060,https://images.ygoprodeck.com/images/cards/2368215.jpg
61,Pendulum Effect Monster,1500.0,1000.0,4.0,2.0,,36195,https://images.ygoprodeck.com/images/cards/24907044.jpg
62,Pendulum Effect Monster,1500.0,1500.0,4.0,8.0,,738,https://images.ygoprodeck.com/images/cards/65477143.jpg
63,Pendulum Effect Monster,1800.0,2500.0,7.0,0.0,,61981,https://images.ygoprodeck.com/images/cards/78310590.jpg
64,Pendulum Effect Monster,1700.0,1000.0,4.0,2.0,,40723,https://images.ygoprodeck.com/images/cards/51028231.jpg
65,Link Monster,1600.0,,,,2.0,260,https://images.ygoprodeck.com/images/cards/47404795.jpg
66,Pendulum Effect Monster,2500.0,1800.0,7.0,3.0,,57918,https://images.ygoprodeck.com/images/cards/25629622.jpg
67,Pendulum Effect Monster,700.0,700.0,2.0,8.0,,32021,https://images.ygoprodeck.com/images/cards/39024589.jpg
68,Pendulum Effect Monster,1000.0,1000.0,4.0,9.0,,44549,https://images.ygoprodeck.com/images/cards/7279373.jpg
69,Pendulum Effect Monster,1600.0,1200.0,4.0,2.0,,52002,https://images.ygoprodeck.com/images/cards/51391183.jpg
73,XYZ Monster,1700.0,1400.0,4.0,,,1578411,https://images.ygoprodeck.com/images/cards/21044178.jpg
74,Normal Monster,750.0,400.0,2.0,,,12200,https://images.ygoprodeck.com/images/cards/40387124.jpg
75,Link Monster,1500.0,,,,2.0,11700,https://images.ygoprodeck.com/images/cards/82184400.jpg
85,Effect Monster,1200.0,700.0,5.0,,,66294,https://images.ygoprodeck.com/images/cards/61496006.jpg
86,Effect Monster,1800.0,1300.0,4.0,,,60060,https://images.ygoprodeck.com/images/cards/18318842.jpg
88,Effect Monster,1800.0,1300.0,4.0,,,19821,https://images.ygoprodeck.com/images/cards/88409165.jpg
97,Effect Monster,1700.0,600.0,4.0,,,22667,https://images.ygoprodeck.com/images/cards/44223284.jpg
98,Synchro Monster,2500.0,2000.0,8.0,,,19086,https://images.ygoprodeck.com/images/cards/30983281.jpg
99,Synchro Tuner Monster,500.0,2100.0,5.0,,,274240,https://images.ygoprodeck.com/images/cards/37675907.jpg
101,Link Monster,2300.0,,,,4.0,2378468,https://images.ygoprodeck.com/images/cards/86066372.jpg
103,Effect Monster,1200.0,600.0,3.0,,,41949,https://images.ygoprodeck.com/images/cards/98865920.jpg
104,Effect Monster,1400.0,400.0,3.0,,,18316,https://images.ygoprodeck.com/images/cards/62476197.jpg
105,Effect Monster,800.0,800.0,2.0,,,148454,https://images.ygoprodeck.com/images/cards/15808381.jpg
106,Normal Monster,900.0,700.0,3.0,,,11123,https://images.ygoprodeck.com/images/cards/77568553.jpg
110,Effect Monster,200.0,400.0,1.0,,,24190,https://images.ygoprodeck.com/images/cards/21051977.jpg
111,Normal Monster,1000.0,1800.0,3.0,,,30043,https://images.ygoprodeck.com/images/cards/47372349.jpg
112,Pendulum Effect Monster,800.0,2300.0,5.0,2.0,,39157,https://images.ygoprodeck.com/images/cards/33656832.jpg
115,Effect Monster,1500.0,2000.0,8.0,,,226717,https://images.ygoprodeck.com/images/cards/81555617.jpg
116,Tuner Monster,1500.0,700.0,4.0,,,266047,https://images.ygoprodeck.com/images/cards/11302671.jpg
117,Effect Monster,0.0,2200.0,4.0,,,146820,https://images.ygoprodeck.com/images/cards/10286023.jpg
118,Effect Monster,0.0,2200.0,4.0,,,72870,https://images.ygoprodeck.com/images/cards/47897376.jpg
119,Effect Monster,0.0,2200.0,4.0,,,70587,https://images.ygoprodeck.com/images/cards/74891384.jpg
123,Tuner Monster,100.0,2100.0,2.0,,,311188,https://images.ygoprodeck.com/images/cards/85914562.jpg
125,Synchro Monster,3000.0,2200.0,8.0,,,507092,https://images.ygoprodeck.com/images/cards/9464441.jpg
126,Synchro Monster,2400.0,2200.0,6.0,,,82071,https://images.ygoprodeck.com/images/cards/47674738.jpg
127,Synchro Monster,2200.0,2800.0,6.0,,,170888,https://images.ygoprodeck.com/images/cards/73079836.jpg
128,Tuner Monster,1200.0,1000.0,2.0,,,234534,https://images.ygoprodeck.com/images/cards/48519867.jpg
132,Effect Monster,1000.0,1000.0,3.0,,,24280,https://images.ygoprodeck.com/images/cards/53828396.jpg
133,XYZ Monster,2600.0,1700.0,5.0,,,129866,https://images.ygoprodeck.com/images/cards/94119480.jpg
134,Effect Monster,1000.0,1000.0,5.0,,,312,https://images.ygoprodeck.com/images/cards/15464375.jpg
