,name,type,desc,race,archetype,image_url,views
0,"""A"" Cell Breeding Device",Spell Card,"During each of your Standby Phases, put 1 A-Counter on 1 face-up monster your opponent controls.",Continuous,Alien,https://images.ygoprodeck.com/images/cards/34541863.jpg,279241
1,"""A"" Cell Incubator",Spell Card,"Each time an A-Counter(s) is removed from play by a card effect, place 1 A-Counter on this card. When this card is destroyed, distribute the A-Counters on this card among face-up monsters.",Continuous,Alien,https://images.ygoprodeck.com/images/cards/64163367.jpg,195960
2,"""A"" Cell Recombination Device",Spell Card,"Target 1 face-up monster on the field; send 1 ""Alien"" monster from your Deck to the Graveyard, and if you do, place A-Counters on that monster equal to the Level of the sent monster. During your Main Phase, except the turn this card was sent to the Graveyard: You can banish this card from your Graveyard; add 1 ""Alien"" monster from your Deck to your hand.",Quick-Play,Alien,https://images.ygoprodeck.com/images/cards/91231901.jpg,203729
3,"""A"" Cell Scatter Burst",Spell Card,"Select 1 face-up ""Alien"" monster you control. Destroy it and distribute new A-Counters equal to its Level among your opponent's face-up monsters.",Quick-Play,Alien,https://images.ygoprodeck.com/images/cards/73262676.jpg,153392
4,"""Infernoble Arms - Durendal""",Spell Card,"While this card is equipped to a monster: You can add 1 Level 5 or lower FIRE Warrior monster from your Deck to your hand, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can target 1 Level 5 or lower FIRE Warrior monster in your GY; Special Summon it, also you cannot Special Summon monsters for the rest of the turn, except Warrior monsters. You can only use 1 """"Infernoble Arms - Durendal"""" effect per turn, and only once that turn.",Equip,Noble Knight,https://images.ygoprodeck.com/images/cards/37478723.jpg,284976
5,"""Infernoble Arms - Hauteclere""",Spell Card,"While this card is equipped to a monster: You can target 1 face-up monster you control; this turn, you cannot declare attacks, except with that monster, also it gains the ability this turn to make a second attack during each Battle Phase, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can target 1 face-up monster on the field; destroy it. You can only use 1 """"Infernoble Arms - Hauteclere"""" effect per turn, and only once that turn.",Equip,Noble Knight,https://images.ygoprodeck.com/images/cards/64867422.jpg,61555
6,"""Infernoble Arms - Joyeuse""",Spell Card,"While this card is equipped to a monster: You can target 1 FIRE Warrior monster in your GY; add it to your hand, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can Special Summon 1 FIRE Warrior monster from your hand. You can only use 1 """"Infernoble Arms - Joyeuse"""" effect per turn, and only once that turn.",Equip,Noble Knight,https://images.ygoprodeck.com/images/cards/90861137.jpg,75388
7,1st Movement Solo,Spell Card,"If you control no monsters: Special Summon 1 Level 4 or lower ""Melodious"" monster from your hand or Deck. You can only activate 1 ""1st Movement Solo"" per turn. You cannot Special Summon monsters during the turn you activate this card, except ""Melodious"" monsters.",Normal,Melodious,https://images.ygoprodeck.com/images/cards/44256816.jpg,212182
11,7,Spell Card,"When there are 3 face-up ""7"" cards on your side of the field, draw 3 cards from your Deck. Then destroy all ""7"" cards. When this card is sent directly from the field to your Graveyard, increase your Life Points by 700 points.",Continuous,,https://images.ygoprodeck.com/images/cards/67048711.jpg,104
13,7 Completed,Spell Card,"Activate this card by choosing ATK or DEF; equip only to a Machine monster. It gains 700 ATK or DEF, depending on the choice.",Equip,,https://images.ygoprodeck.com/images/cards/86198326.jpg,179612
16,A Deal with Dark Ruler,Spell Card,"(This card is always treated as an ""Archfiend"" card.)
If a Level 8 or higher monster under your control was sent to the Graveyard this turn: Special Summon 1 ""Berserk Dragon"" from your hand or Deck.",Quick-Play,Archfiend,https://images.ygoprodeck.com/images/cards/6850209.jpg,119611
17,A Feather of the Phoenix,Spell Card,"Discard 1 card, then target 1 card in your GY; return that target to the top of your Deck.",Normal,,https://images.ygoprodeck.com/images/cards/49140998.jpg,126972
20,A Hero Lives,Spell Card,"If you control no face-up monsters: Pay half your LP; Special Summon 1 Level 4 or lower ""Elemental HERO"" monster from your Deck.",Normal,Elemental HERO,https://images.ygoprodeck.com/images/cards/8949584.jpg,446679
21,A Legendary Ocean,Spell Card,"(This card's name is always treated as ""Umi"".)
All WATER monsters on the field gain 200 ATK/DEF. Reduce the Level of all WATER monsters in both players' hands and on the field by 1.",Field,Umi,https://images.ygoprodeck.com/images/cards/295517.jpg,253240
25,A Wild Monster Appears!,Spell Card,"If your opponent controls a monster and you control no monsters: Special Summon from your hand, 1 monster with an original Level of 10 or lower that cannot be Normal Summoned/Set, ignoring its Summoning conditions. It is unaffected by the effects of your cards, except for its own effects and this card's, also shuffle it into the Deck during your opponent's next End Phase. For the rest of this turn, you cannot Normal Summon/Set or Special Summon monsters, and your opponent takes no damage.",Normal,,https://images.ygoprodeck.com/images/cards/23587624.jpg,45448
26,A Wingbeat of Giant Dragon,Spell Card,"Return 1 Level 5 or higher Dragon-Type monster you control to the hand, and if you do, destroy all Spell and Trap Cards on the field.",Normal,,https://images.ygoprodeck.com/images/cards/28596933.jpg,190787
