,name,type,desc,race,archetype,image_url,views
18,A Feint Plan,Trap Card,A player cannot attack face-down monsters during this turn.,Normal,,https://images.ygoprodeck.com/images/cards/68170903.jpg,90828
19,A Hero Emerges,Trap Card,"When an opponent's monster declares an attack: Your opponent chooses 1 random card from your hand, then if it is a monster that can be Special Summoned, Special Summon it. Otherwise, send it to the Graveyard.",Normal,,https://images.ygoprodeck.com/images/cards/21597117.jpg,139351
22,A Major Upset,Trap Card,Tribute 1 face-up Attack Position Level 2 or lower monster you control; return all Level 7 or higher Special Summoned monsters to the hand.,Normal,,https://images.ygoprodeck.com/images/cards/32207100.jpg,37140
24,A Rival Appears!,Trap Card,Select 1 face-up monster your opponent controls. Special Summon 1 monster from your hand that has the same Level as the selected monster.,Normal,,https://images.ygoprodeck.com/images/cards/5728014.jpg,56416
31,A.I. Challenge You,Trap Card,"Monsters your opponent controls lose 100 ATK for each card you control. If your ""@Ignister"" monster battles, your opponent cannot activate cards or effects until the end of the Damage Step. When your ""@Ignister"" monster is destroyed by battle: You can target 1 other Cyberse monster with 2300 ATK in your GY; Special Summon it. You can only use this effect of ""A.I. Challenge You"" once per turn.",Continuous,A.I.,https://images.ygoprodeck.com/images/cards/28645123.jpg,12242
35,A.I. Shadow,Trap Card,"Activate this card by targeting 1 ""@Ignister"" monster you control. That monster gains 800 ATK, also all monsters your opponent controls must attack that monster you control, if able. If this face-up card in its owner's Spell & Trap Zone has left the field because of an opponent's effect, and is now in the GY or banished: Draw 1 card. You can only use this effect of ""A.I. Shadow"" once per turn.",Continuous,@Ignister,https://images.ygoprodeck.com/images/cards/77421977.jpg,30960
37,A.I.'s Show,Trap Card,"While you control a Link-3 or higher ""@Ignister"" monster in the Extra Monster Zone, when an opponent's monster declares an attack: Special Summon from your Extra Deck any number of non-Link Cyberse monster(s) with 2300 ATK, whose combined ATK is less than or equal to the attacking monster's ATK, then end the Battle Phase.",Normal,A.I.,https://images.ygoprodeck.com/images/cards/54374642.jpg,4798
38,A.I.Q,Trap Card,"Activate only if you control an ""@Ignister"" monster. Once per turn, during your Standby Phase, Tribute 1 Link Monster, or destroy this card. Each player can only Link Summon a monster once per turn while this card is face-up on the field.",Continuous,@Ignister,https://images.ygoprodeck.com/images/cards/69381150.jpg,18943
45,Abominable Chamber of the Unchained,Trap Card,"Special Summon 1 ""Unchained"" monster from your hand or GY. If this Set card is destroyed by card effect: You can Special Summon 1 ""Unchained"" monster from your Deck. You can only use each effect of ""Abominable Chamber of the Unchained"" once per turn.",Normal,Unchained,https://images.ygoprodeck.com/images/cards/80801743.jpg,145369
49,Absolute End,Trap Card,"Activate only during your opponent's turn. This turn, the attacks from your opponent's monsters become direct attacks.",Normal,,https://images.ygoprodeck.com/images/cards/27744077.jpg,40857
70,Abyss Actors Back Stage,Trap Card,"If you have 2 ""Abyss Actor"" cards in your Pendulum Zones: Add 2 ""Abyss Actor"" Pendulum Monsters with different names from your Deck to your Extra Deck face-up. You can only activate 1 ""Abyss Actors Back Stage"" per turn.",Normal,Abyss Actor,https://images.ygoprodeck.com/images/cards/59057953.jpg,23231
